"latitude","longitude","acq_date","cluster"
-37.66362,148.784012,"1/1/2020",1
-37.664093,148.776749,"1/1/2020",1
-37.662182,148.805893,"1/1/2020",1
-37.658077,148.791061,"1/1/2020",1
-37.676098,148.341553,"1/1/2020",1
-37.649033,149.003769,"1/1/2020",1
-37.664566,148.769485,"1/1/2020",1
-37.667706,148.799088,"1/1/2020",1
-37.696823,148.343094,"1/1/2020",1
-37.69706,148.339249,"1/1/2020",1
-37.702484,148.335815,"1/1/2020",1
-37.702248,148.3396,"1/1/2020",1
-37.704136,148.309143,"1/1/2020",1
-37.714802,148.13472,"1/1/2020",1
-37.698944,148.308807,"1/1/2020",1
-37.707424,148.340088,"1/1/2020",1
-37.745224,147.707397,"1/1/2020",1
-37.707191,148.343826,"1/1/2020",1
-37.745441,147.703522,"1/1/2020",1
-37.721684,148.194366,"1/1/2020",1
-37.710037,148.126404,"1/1/2020",1
-37.721928,148.190414,"1/1/2020",1
-37.674213,148.777435,"1/1/2020",1
-37.699032,148.632782,"1/1/2020",1
-37.664204,149.075348,"1/1/2020",1
-37.665638,149.05452,"1/1/2020",1
-37.672058,149.034058,"1/1/2020",1
-37.727394,148.186859,"1/1/2020",1
-37.669178,149.075745,"1/1/2020",1
-37.671101,149.047943,"1/1/2020",1
-37.72097,148.205963,"1/1/2020",1
-37.720901,148.291321,"1/1/2020",1
-37.676327,148.337784,"1/1/2020",1
-37.669151,148.7771,"1/1/2020",1
-37.551941,149.379044,"1/1/2020",1
-37.721146,148.287491,"1/1/2020",1
-37.72187,148.275803,"1/1/2020",1
-37.72121,148.202103,"1/1/2020",1
-37.731647,148.202942,"1/1/2020",1
-37.675602,149.055252,"1/1/2020",1
-37.731407,148.206833,"1/1/2020",1
-37.677055,149.034302,"1/1/2020",1
-37.727566,148.268356,"1/1/2020",1
-37.727806,148.264481,"1/1/2020",1
-37.729725,148.233826,"1/1/2020",1
-37.729965,148.229965,"1/1/2020",1
-37.704147,148.632935,"1/1/2020",1
-37.70462,148.625717,"1/1/2020",1
-37.723675,148.330154,"1/1/2020",1
-37.678017,149.020401,"1/1/2020",1
-37.67609,149.048248,"1/1/2020",1
-37.723915,148.32634,"1/1/2020",1
-37.668713,149.082458,"1/1/2020",1
-37.67754,149.027283,"1/1/2020",1
-37.73687,148.203339,"1/1/2020",1
-37.736629,148.20723,"1/1/2020",1
-37.673695,149.082718,"1/1/2020",1
-37.736385,148.211121,"1/1/2020",1
-37.709255,148.633209,"1/1/2020",1
-37.731056,148.295944,"1/1/2020",1
-37.674633,149.069214,"1/1/2020",1
-37.735184,148.230331,"1/1/2020",1
-37.681564,149.041641,"1/1/2020",1
-37.682053,149.034637,"1/1/2020",1
-37.682541,149.027573,"1/1/2020",1
-37.681076,149.04863,"1/1/2020",1
-37.669666,149.068726,"1/1/2020",1
-37.683018,149.020691,"1/1/2020",1
-37.675121,149.062195,"1/1/2020",1
-37.680584,149.055649,"1/1/2020",1
-37.688023,149.020889,"1/1/2020",1
-37.688519,149.013763,"1/1/2020",1
-37.740147,148.234726,"1/1/2020",1
-37.687527,149.027969,"1/1/2020",1
-37.7439,148.258209,"1/1/2020",1
-37.686546,149.042084,"1/1/2020",1
-37.684109,149.076874,"1/1/2020",1
-37.687035,149.035049,"1/1/2020",1
-37.692493,149.028687,"1/1/2020",1
-37.692989,149.021591,"1/1/2020",1
-37.693497,149.014359,"1/1/2020",1
-37.690044,149.063629,"1/1/2020",1
-37.698471,149.01503,"1/1/2020",1
-37.74366,148.261948,"1/1/2020",1
-37.678684,149.082932,"1/1/2020",1
-37.689548,149.070679,"1/1/2020",1
-37.703449,149.015625,"1/1/2020",1
-37.70396,149.008408,"1/1/2020",1
-37.695026,149.063995,"1/1/2020",1
-37.700981,149.050568,"1/1/2020",1
-37.706455,149.044052,"1/1/2020",1
-37.706947,149.037155,"1/1/2020",1
-37.695511,149.057129,"1/1/2020",1
-37.708931,149.009079,"1/1/2020",1
-37.718403,149.017227,"1/1/2020",1
-37.718895,149.010254,"1/1/2020",1
-37.717915,149.024094,"1/1/2020",1
-37.712425,149.03064,"1/1/2020",1
-37.697964,149.022263,"1/1/2020",1
-37.680096,149.062698,"1/1/2020",1
-37.67062,149.054901,"1/1/2020",1
-37.713913,149.009705,"1/1/2020",1
-37.750648,149.271332,"1/1/2020",1
-37.745239,149.277786,"1/1/2020",1
-37.740303,149.277603,"1/1/2020",1
-37.750168,149.278137,"1/1/2020",1
-38.071499,141.863068,"1/1/2020",2
-37.755089,149.278625,"1/1/2020",1
-37.735371,149.277328,"1/1/2020",1
-37.755562,149.271942,"1/1/2020",1
-38.088066,141.871384,"1/1/2020",2
-38.080811,141.880432,"1/1/2020",2
-38.088024,141.880447,"1/1/2020",2
-38.085766,141.881104,"1/1/2020",2
-38.08585,141.872086,"1/1/2020",2
-37.717442,149.025024,"1/1/2020",1
-37.717888,149.018127,"1/1/2020",1
-37.672543,149.027039,"1/1/2020",1
-37.718346,149.011154,"1/1/2020",1
-37.410175,148.909698,"1/1/2020",1
-37.399071,149.131897,"1/1/2020",1
-37.55291,149.365707,"1/1/2020",1
-37.379868,149.698135,"1/1/2020",1
-37.565163,149.264526,"1/1/2020",1
-37.677822,147.615829,"1/1/2020",3
-37.569141,149.209122,"1/1/2020",1
-37.646374,148.050476,"1/1/2020",1
-37.661911,147.794281,"1/1/2020",1
-37.594578,148.919235,"1/1/2020",1
-37.60376,148.785767,"1/1/2020",1
-37.615219,148.616135,"1/1/2020",1
-37.591515,148.963226,"1/1/2020",1
-37.575027,149.196243,"1/1/2020",1
-37.575504,149.189621,"1/1/2020",1
-37.651649,148.05069,"1/1/2020",1
-37.583817,149.072861,"1/1/2020",1
-37.562206,149.373138,"1/1/2020",1
-37.562683,149.366577,"1/1/2020",1
-37.621284,148.602127,"1/1/2020",1
-37.56316,149.360107,"1/1/2020",1
-37.677589,147.619751,"1/1/2020",3
-37.661686,147.798141,"1/1/2020",1
-37.570545,149.258469,"1/1/2020",1
-37.608795,148.786423,"1/1/2020",1
-37.575954,149.252151,"1/1/2020",1
-37.579967,149.196625,"1/1/2020",1
-37.580902,149.183578,"1/1/2020",1
-37.575474,149.258774,"1/1/2020",1
-37.630775,148.537033,"1/1/2020",1
-37.567558,149.367126,"1/1/2020",1
-37.568035,149.360718,"1/1/2020",1
-37.588783,149.073303,"1/1/2020",1
-37.604065,148.927734,"1/1/2020",1
-37.604561,148.920685,"1/1/2020",1
-37.613331,148.794296,"1/1/2020",1
-37.602055,148.95636,"1/1/2020",1
-37.590271,149.122498,"1/1/2020",1
-37.613834,148.786987,"1/1/2020",1
-37.599571,148.919907,"1/1/2020",1
-37.595154,149.054031,"1/1/2020",1
